shot_id,sequence_id,duration_seconds,dramatic_stage,dramatic_beat,visual_subtext,composition,camera,camera_psychology,screen_action,sound_detail,sound_perspective,cut_motivation,continuity_anchor,transition_role,religious_visual_safety,master_lock_status
ADAM-DC2-S01-SH01,ADAM-SEQUENCE-01,8,entry,إلقاء المشاهد داخل نظام كوني قبل فهمه,الكون أسبق من تفسير المشاهد,امتداد بازلتي أسود تحت سماء بلا نجوم؛ غبار دقيق معلق في الهواء.,عدسة عريضة على مستوى الأرض، زحف بطيء نحو فراغ في الأفق.,الحركة تخدم «إلقاء المشاهد داخل نظام كوني قبل فهمه»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,تهبط موجة ضغط فوق السهل فتسكن الذرات دفعة واحدة.,نبضة عميقة، احتكاك حجر، ثم فراغ صوتي.,الصوت يبدأ من مادة اللقطة (نبضة عميقة، احتكاك حجر، ثم فراغ صوتي.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,الحافة البازلتية والنغمة الشاذة,إلقاء المشاهد مباشرة داخل لحظة أمر كوني بلا كشف الشخصيات.,بيئة مادية مجردة؛ لا تمثيل لذات غيبية.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S01-SH02,ADAM-SEQUENCE-01,12,reveal,إظهار اكتمال الامتثال في حركة واحدة,الطاعة لا تحتاج ضجيجًا لتكون عظيمة,صفوف هائلة من أعمدة الغبار والضوء تمتد خارج حدود الكادر.,رافعة منخفضة تعبر بين الصفوف قبل أن ترتفع.,الحركة تخدم «إظهار اكتمال الامتثال في حركة واحدة»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,تنخفض الصفوف في حركة واحدة كأن الجاذبية تبدلت.,اندفاع هواء جماعي يتبعه ارتطام مكتوم.,الصوت يبدأ من مادة اللقطة (اندفاع هواء جماعي يتبعه ارتطام مكتوم.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,الحافة البازلتية والنغمة الشاذة,ترجمة السجود كحدث ذي مقياس ملحمي لا كأجساد مرئية.,الأعمدة ليست ملائكة ولا أشكالًا حية.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S01-SH03,ADAM-SEQUENCE-01,12,pressure,كشف الاستثناء بوصفه خللًا في النظام,الكبر يبدأ من وقفة تبدو صغيرة,حافة صخرية وحيدة تبقى مرتفعة بعد انخفاض المشهد كله.,دوران بطيء حول الحافة مع خلفية واسعة من السكون.,الحركة تخدم «كشف الاستثناء بوصفه خللًا في النظام»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,يتصاعد منها بخار حراري دقيق خلاف اتجاه الريح.,نغمة حادة واحدة ترفض الانسجام.,الصوت يبدأ من مادة اللقطة (نغمة حادة واحدة ترفض الانسجام.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,الحافة البازلتية والنغمة الشاذة,كشف الاستثناء قبل ذكر الاسم.,الحافة رمز للرفض وليست إبليس.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S01-SH04,ADAM-SEQUENCE-01,13,turn,ربط الخلل بمسار التاريخ البشري,أثر الاختيار أطول من لحظته,طريق ضوء يخترق صحارى وبحارًا ومدنًا بشرية بعيدة عبر عصور متتابعة.,اندفاع جوي سريع يتباطأ عند كل أثر إنساني ثم يواصل.,الحركة تخدم «ربط الخلل بمسار التاريخ البشري»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,يمتد ظل الحافة بمحاذاة الطريق من دون أن يغطيه كاملًا.,طبول بعيدة، وقع خطوات بشرية، أصوات أسواق وحروب غير محددة.,الصوت يبدأ من مادة اللقطة (طبول بعيدة، وقع خطوات بشرية، أصوات أسواق وحروب غير محددة.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,الحافة البازلتية والنغمة الشاذة,ربط الوقوف الأول بتاريخ الاختيار الإنساني.,الظلال والمجتمعات غير منسوبة إلى واقعة تاريخية محددة.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S01-SH05,ADAM-SEQUENCE-01,10,bridge,سحب الزمن إلى الطين السابق للحكاية,كل نار في القصة ستعود إلى الطين,السواد يبتلع الطريق، ويظهر عنوان «سراج» من شق ضوء رفيع.,ثبات كامل مع اقتراب بصري طفيف عبر تغير البؤرة.,الحركة تخدم «سحب الزمن إلى الطين السابق للحكاية»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,يتحول الشق إلى أثر طين رطب يحمل عنوان الحلقة.,اكتمال الموتيف بثلاث نغمات ثم نفس طويل.,الصوت يبدأ من مادة اللقطة (اكتمال الموتيف بثلاث نغمات ثم نفس طويل.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,الحافة البازلتية والنغمة الشاذة,الانتقال من النتيجة إلى أصل الحكاية.,عنوان فقط.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S02-SH01,ADAM-SEQUENCE-02,10,entry,تفكيك العالم المألوف إلى أثر,الحضارة نتيجة لا بداية,الطريق نفسه يندفع إلى الخلف؛ مدن وتضاريس تتراجع حتى تختفي آثار البشر.,حركة عكسية عالية السرعة تنتهي فوق أرض لم تطأها قدم.,الحركة تخدم «تفكيك العالم المألوف إلى أثر»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,تعود الجدران حجرًا، والطرق ترابًا، والنار إلى شرارة.,أصوات الحضارة تُسحب عكسيًا حتى يبقى صوت الريح.,الصوت يبدأ من مادة اللقطة (أصوات الحضارة تُسحب عكسيًا حتى يبقى صوت الريح.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,المطر الذي يمحو آثار الحضارة,إعادة الزمن من الصراع إلى ما قبل الإنسان.,مونتاج زمني رمزي بلا ادعاء تفاصيل تاريخية.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S02-SH02,ADAM-SEQUENCE-02,15,reveal,العودة عبر الزمن بدل شرحه,كل أثر بشري يمكن أن يعود إلى التراب,أرض بدئية واسعة، سلاسل جبلية وماء يلتقيان تحت سحب ثقيلة.,طيران بطيء فوق التضاريس ثم هبوط إلى مستوى الطين.,الحركة تخدم «العودة عبر الزمن بدل شرحه»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,المطر يضرب الأرض للمرة الأولى داخل المشهد.,رعد بعيد ومطر ثقيل.,الصوت يبدأ من مادة اللقطة (رعد بعيد ومطر ثقيل.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,المطر الذي يمحو آثار الحضارة,تحويل السؤال إلى عالم ملموس لا إلى خطاب منهجي.,تصوير طبيعي عام لا يحدد كيفية الخلق.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S02-SH03,ADAM-SEQUENCE-02,16,pressure,كشف الأرض قبل الإنسان,المكان ينتظر صاحبه قبل ظهوره,الماء يدخل شقوق التراب ويصنع طبقات طين متفاوتة.,ماكرو متحرك داخل الأخاديد الدقيقة.,الحركة تخدم «كشف الأرض قبل الإنسان»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,تتشكل دوامة صغيرة ثم تستقر.,قطرات مكبرة واحتكاك حبيبات.,الصوت يبدأ من مادة اللقطة (قطرات مكبرة واحتكاك حبيبات.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,المطر الذي يمحو آثار الحضارة,زرع مادة آدم قبل ذكرها.,لا هيئة بشرية.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S02-SH04,ADAM-SEQUENCE-02,15,turn,تقديم الطين بوصفه حامل المفارقة,الضعف المادي لا يحدد القيمة,الأرض من المدار، ثم ومضات غير قطعية لحقول وجسور وبيوت وخرائب على سطحها المستقبلي.,اقتراب مداري يتخلله مونتاج قصير داخل تضاريس الأرض.,الحركة تخدم «تقديم الطين بوصفه حامل المفارقة»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,يظهر البناء والخراب كاحتمالات متعاقبة لا كنبوءة تفصيلية.,صدى مطارق وماء ونار وأصوات بشرية بعيدة.,الصوت يبدأ من مادة اللقطة (صدى مطارق وماء ونار وأصوات بشرية بعيدة.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,المطر الذي يمحو آثار الحضارة,تجسيد ثقل دور الخليفة قبل الإعلان.,صور احتمالية عامة بلا أشخاص أو أحداث محددة.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S02-SH05,ADAM-SEQUENCE-02,15,bridge,فتح سؤال التكريم والعداوة,السؤال أقوى من الإعلان التفسيري,أفق الأرض يظلم، ويظهر العنوان «آدم: التكريم والاختبار».,عدسة طويلة ثابتة على أول ضوء فوق الأفق.,الحركة تخدم «فتح سؤال التكريم والعداوة»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,يمر خط ضوء من العنوان إلى سطح ماء أسود.,ضربة إطار واحدة تتصل بصوت الماء.,الصوت يبدأ من مادة اللقطة (ضربة إطار واحدة تتصل بصوت الماء.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,المطر الذي يمحو آثار الحضارة,الدخول إلى ما قبل الخلق.,عنوان فقط.,READY_FOR_HUMAN_STORYBOARD_REVIEW
